노선번호,노선(ID),정류장순서,정류장(ID),정류장명,경도,위도,데이터기준일
1,250000100,1,250026779,장학해온채A,127.753910 ,37.897310 ,2024-01-02
1,250000100,2,250026778,장학교차로,127.755550 ,37.893830 ,2024-01-02
1,250000100,3,250026830,장학부영A,127.752780 ,37.896420 ,2024-01-02
1,250000100,4,250001211,후평동종점,127.748650 ,37.893260 ,2024-01-02
1,250000100,5,250001377,춘천기계공고,127.748980 ,37.891140 ,2024-01-02
1,250000100,6,250001873,정부합동청사,127.749310 ,37.888870 ,2024-01-02
1,250000100,7,250001505,동광오거리,127.749550 ,37.885230 ,2024-01-02
1,250000100,8,250001277,한국전력공사입구,127.748710 ,37.883460 ,2024-01-02
1,250000100,9,250001295,포스코더샵A,127.748600 ,37.881500 ,2024-01-02
1,250000100,10,250001786,충인교회,127.750010 ,37.879540 ,2024-01-02
1,250000100,11,250001853,일성트루엘A,127.748220 ,37.877350 ,2024-01-02
1,250000100,12,250002238,푸른언덕공원,127.745560 ,37.876220 ,2024-01-02
1,250000100,13,250001750,강원대학병원,127.742950 ,37.874740 ,2024-01-02
1,250000100,14,250001678,춘천청소년수련관,127.741090 ,37.874380 ,2024-01-02
1,250000100,15,250001230,중부지구대,127.737970 ,37.875790 ,2024-01-02
1,250000100,16,250001545,동부시장,127.734290 ,37.876580 ,2024-01-02
1,250000100,17,250001914,육림고개,127.730800 ,37.877190 ,2024-01-02
1,250000100,18,250002077,시청입구,127.728740 ,37.879570 ,2024-01-02
1,250000100,19,250002029,명동입구,127.726700 ,37.879690 ,2024-01-02
1,250000100,20,250001848,중앙시장/중앙초교,127.725050 ,37.878340 ,2024-01-02
1,250000100,21,250001202,중앙로입구,127.723070 ,37.877030 ,2024-01-02
1,250000100,22,250001349,춘천시보건소,127.720760 ,37.876170 ,2024-01-02
1,250000100,23,250001353,춘천중학교,127.717700 ,37.875210 ,2024-01-02
1,250000100,24,250001350,엘타워/미소지움,127.717020 ,37.874050 ,2024-01-02
1,250000100,25,250001986,미소지움/방송대,127.720150 ,37.873310 ,2024-01-02
1,250000100,26,250002027,모아엘가A,127.723130 ,37.872100 ,2024-01-02
1,250000100,27,250001626,남부시장,127.726000 ,37.870620 ,2024-01-02
1,250000100,28,250026603,수협,127.727890 ,37.869710 ,2024-01-02
1,250000100,29,250002023,양우A,127.730500 ,37.868330 ,2024-01-02
1,250000100,30,250002239,춘천지방법원,127.734160 ,37.866110 ,2024-01-02
1,250000100,31,250001751,춘천사회혁신센터,127.736300 ,37.864170 ,2024-01-02
1,250000100,32,250002136,석사A,127.739120 ,37.862790 ,2024-01-02
1,250000100,33,250002148,석사4거리,127.743290 ,37.861170 ,2024-01-02
1,250000100,34,250002147,석사교회,127.744600 ,37.859890 ,2024-01-02
1,250000100,35,250001386,교육대학교,127.747100 ,37.857180 ,2024-01-02
1,250000100,36,250002016,여성가족연구원,127.748680 ,37.855790 ,2024-01-02
